school_name,postal_code,level,lat,lon
KRANJI PRIMARY SCHOOL,689189,PRIMARY,1.3939439,103.7471369
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,579793,PRIMARY,1.349215,103.8550069
LAKESIDE PRIMARY SCHOOL,618310,PRIMARY,1.3381599,103.718081
LIANHUA PRIMARY SCHOOL,659243,PRIMARY,1.3538616,103.7540715
MAHA BODHI SCHOOL,408931,PRIMARY,1.3284777,103.9015345
MARSILING PRIMARY SCHOOL,738927,PRIMARY,1.4341257,103.77337
MARYMOUNT CONVENT SCHOOL,297754,PRIMARY,1.3402824,103.8397216
MAYFLOWER PRIMARY SCHOOL,569878,PRIMARY,1.3768977,103.8433642
MEE TOH SCHOOL,828867,PRIMARY,1.394834,103.9086547
MERIDIAN PRIMARY SCHOOL,518798,PRIMARY,1.3760316,103.9351592
METHODIST GIRLS' SCHOOL (PRIMARY),599986,PRIMARY,1.3329992,103.7831019
MONTFORT JUNIOR SCHOOL,538786,PRIMARY,1.3746523,103.8895368
NAN CHIAU PRIMARY SCHOOL,545080,PRIMARY,1.3920267,103.8910424
NAN HUA PRIMARY SCHOOL,128806,PRIMARY,1.3196712,103.7617546
NANYANG PRIMARY SCHOOL,268097,PRIMARY,1.3208317,103.8082166
NAVAL BASE PRIMARY SCHOOL,769028,PRIMARY,1.4162058,103.8389493
NEW TOWN PRIMARY SCHOOL,148812,PRIMARY,1.2998136,103.7998399
NGEE ANN PRIMARY SCHOOL,449149,PRIMARY,1.3056542,103.9178867
NORTH SPRING PRIMARY SCHOOL,545088,PRIMARY,1.4008244,103.8855297
NORTH VIEW PRIMARY SCHOOL,768960,PRIMARY,1.2899175,103.8519072
NORTH VISTA PRIMARY SCHOOL,544974,PRIMARY,1.3828948,103.8959771
NORTHLAND PRIMARY SCHOOL,769026,PRIMARY,1.4212286,103.8405876
NORTHOAKS PRIMARY SCHOOL,757622,PRIMARY,1.4569506,103.8135393
NORTHSHORE PRIMARY SCHOOL,828671,PRIMARY,1.418217,103.9046901
OASIS PRIMARY SCHOOL,828716,PRIMARY,1.404653,103.9109764
OPERA ESTATE PRIMARY SCHOOL,458436,PRIMARY,1.3196642,103.923766
PALM VIEW PRIMARY SCHOOL,544822,PRIMARY,1.3840612,103.8912122
PARK VIEW PRIMARY SCHOOL,519524,PRIMARY,1.3775755,103.9392553
PASIR RIS PRIMARY SCHOOL,518968,PRIMARY,1.3721528,103.9630263
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),536741,PRIMARY,1.349932,103.8849238
PEI CHUN PUBLIC SCHOOL,319320,PRIMARY,1.3366992,103.8557113
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,597610,PRIMARY,1.3380993,103.7762188
PEI TONG PRIMARY SCHOOL,129857,PRIMARY,1.3162671,103.767763
PEIYING PRIMARY SCHOOL,768687,PRIMARY,1.4177742,103.8303764
PIONEER PRIMARY SCHOOL,699915,PRIMARY,1.3546192,103.733099
POI CHING SCHOOL,529067,PRIMARY,1.3577705,103.9354999
PRINCESS ELIZABETH PRIMARY SCHOOL,659163,PRIMARY,1.3493822,103.7409542
PUNGGOL COVE PRIMARY SCHOOL,828674,PRIMARY,1.4117713,103.8992442
PUNGGOL GREEN PRIMARY SCHOOL,828772,PRIMARY,1.4019593,103.8985496
PUNGGOL PRIMARY SCHOOL,538787,PRIMARY,1.3781311,103.8947545
PUNGGOL VIEW PRIMARY SCHOOL,828845,PRIMARY,1.405623,103.9050707
QIFA PRIMARY SCHOOL,128104,PRIMARY,1.3128055,103.7569649
QIHUA PRIMARY SCHOOL,738525,PRIMARY,1.4420502,103.7883337
QUEENSTOWN PRIMARY SCHOOL,149303,PRIMARY,1.2960266,103.8078385
RADIN MAS PRIMARY SCHOOL,99840,PRIMARY,1.2899175,103.8519072
RAFFLES GIRLS' PRIMARY SCHOOL,289072,PRIMARY,1.2899175,103.8519072
RED SWASTIKA SCHOOL,469719,PRIMARY,1.3336412,103.9346185
RIVER VALLEY PRIMARY SCHOOL,237993,PRIMARY,1.2943029,103.8359305
RIVERSIDE PRIMARY SCHOOL,737803,PRIMARY,1.4472779,103.8018321
RIVERVALE PRIMARY SCHOOL,545092,PRIMARY,1.3934574,103.9042405
ROSYTH SCHOOL,555855,PRIMARY,1.3728695,103.8745093
RULANG PRIMARY SCHOOL,649295,PRIMARY,1.3466091,103.718737
SEMBAWANG PRIMARY SCHOOL,757715,PRIMARY,1.4452668,103.8209149
SENG KANG PRIMARY SCHOOL,545166,PRIMARY,1.38952,103.8994146
SENGKANG GREEN PRIMARY SCHOOL,797636,PRIMARY,1.3928921,103.8748431
SHUQUN PRIMARY SCHOOL,649332,PRIMARY,1.3471271,103.7215902
SI LING PRIMARY SCHOOL,739067,PRIMARY,1.4325948,103.7857695
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,309437,PRIMARY,1.3210713,103.8275742
SOUTH VIEW PRIMARY SCHOOL,689762,PRIMARY,1.2899175,103.8519072
SPRINGDALE PRIMARY SCHOOL,544799,PRIMARY,1.3950015,103.8897759
ST ANDREW'S SCHOOL (JUNIOR),359337,PRIMARY,1.3314877,103.8650956
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,469701,PRIMARY,1.3349316,103.9408662
ST. ANTHONY'S PRIMARY SCHOOL,659401,PRIMARY,1.2899175,103.8519072
ST. GABRIEL'S PRIMARY SCHOOL,556742,PRIMARY,1.3496952,103.8621682
ST. HILDA'S PRIMARY SCHOOL,529706,PRIMARY,1.3493751,103.9365936
ST. JOSEPH'S INSTITUTION JUNIOR,309331,PRIMARY,1.3175131,103.8463182
ST. MARGARET'S SCHOOL (PRIMARY),228197,PRIMARY,1.2899175,103.8519072
ST. STEPHEN'S SCHOOL,455789,PRIMARY,1.318257,103.9182735
TAMPINES NORTH PRIMARY SCHOOL,529565,PRIMARY,1.3605548,103.9490661
TAMPINES PRIMARY SCHOOL,529426,PRIMARY,1.3503174,103.9439019
TANJONG KATONG PRIMARY SCHOOL,437259,PRIMARY,1.3053243,103.9004551
TAO NAN SCHOOL,449761,PRIMARY,1.2899175,103.8519072
TECK GHEE PRIMARY SCHOOL,569299,PRIMARY,1.3653641,103.8509423
TECK WHYE PRIMARY SCHOOL,688261,PRIMARY,1.3838509,103.7536535
TELOK KURAU PRIMARY SCHOOL,479239,PRIMARY,1.3241459,103.9285409
TEMASEK PRIMARY SCHOOL,469300,PRIMARY,1.2899175,103.8519072
TOWNSVILLE PRIMARY SCHOOL,569730,PRIMARY,1.3604365,103.8540368
UNITY PRIMARY SCHOOL,688268,PRIMARY,1.4026516,103.7467054
VALOUR PRIMARY SCHOOL,828728,PRIMARY,1.4071394,103.8989768
WATERWAY PRIMARY SCHOOL,828802,PRIMARY,1.3992408,103.9183743
WELLINGTON PRIMARY SCHOOL,757702,PRIMARY,1.4521303,103.8224227
WEST GROVE PRIMARY SCHOOL,649223,PRIMARY,1.3446809,103.6989833
WEST SPRING PRIMARY SCHOOL,679946,PRIMARY,1.3892807,103.7664336
WEST VIEW PRIMARY SCHOOL,677742,PRIMARY,1.3835888,103.7599934
WESTWOOD PRIMARY SCHOOL,649188,PRIMARY,1.3474424,103.700513
WHITE SANDS PRIMARY SCHOOL,519075,PRIMARY,1.365473,103.9612546
WOODGROVE PRIMARY SCHOOL,738079,PRIMARY,1.4331095,103.7903049
WOODLANDS PRIMARY SCHOOL,738853,PRIMARY,1.4366956,103.7916902
WOODLANDS RING PRIMARY SCHOOL,738240,PRIMARY,1.4346654,103.7978405
XINGHUA PRIMARY SCHOOL,538882,PRIMARY,1.3580028,103.8905149
XINGNAN PRIMARY SCHOOL,649036,PRIMARY,1.3431181,103.6876286
XINMIN PRIMARY SCHOOL,538784,PRIMARY,1.3714019,103.8831785
XISHAN PRIMARY SCHOOL,768611,PRIMARY,1.43343,103.8377866
YANGZHENG PRIMARY SCHOOL,556108,PRIMARY,1.3487634,103.868425
YEW TEE PRIMARY SCHOOL,689100,PRIMARY,1.3969567,103.7510919
YIO CHU KANG PRIMARY SCHOOL,538720,PRIMARY,1.3779148,103.8854613
YISHUN PRIMARY SCHOOL,768679,PRIMARY,1.4335986,103.8338869
YU NENG PRIMARY SCHOOL,469623,PRIMARY,1.3342045,103.9328103
YUHUA PRIMARY SCHOOL,609558,PRIMARY,1.3428913,103.74096
YUMIN PRIMARY SCHOOL,529393,PRIMARY,1.3512643,103.9508735
ZHANGDE PRIMARY SCHOOL,169485,PRIMARY,1.2841556,103.8261194
ZHENGHUA PRIMARY SCHOOL,679002,PRIMARY,1.3794259,103.7696661
ZHONGHUA PRIMARY SCHOOL,556095,PRIMARY,1.3598599,103.8696576
